feature,non_null,mean,median,p90
buy_up_size_2m,290,425.6141034482759,162.565,543.4710000000003
buy_down_size_2m,288,276.9285416666667,152.37,482.843
sell_up_size_2m,288,279.5339930555556,160.125,488.00800000000015
sell_down_size_2m,290,420.2318275862069,164.32999999999998,501.07600000000014
size_imbalance_updown_2m,288,0.035201093270842594,0.011383124863370007,0.8790201124414773
depth_imbalance_updown_2m,288,-0.0007708059795686428,0.0009678633631660107,0.07821775391598963
