strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 06:05:01+00:00,btc-updown-5m-1777183500,buy_down,20.0,29.41176470588235,0.68,9.117647058823527,109.11764705882352
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 06:50:01+00:00,btc-updown-5m-1777186200,buy_down,21.823529411764707,39.67914438502674,0.55,-22.220320855614975,86.89732620320855
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 07:35:01+00:00,btc-updown-5m-1777188900,buy_down,17.37946524064171,25.55803711859075,0.68,7.922991506763131,94.82031770997168
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 08:00:02+00:00,btc-updown-5m-1777190400,buy_down,18.964063541994335,30.10168816189577,0.63,10.836607738282476,105.65692544825416
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 08:40:01+00:00,btc-updown-5m-1777192800,buy_down,21.131385089650834,27.443357259286795,0.77,6.037538597043095,111.69446404529725
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 09:30:00+00:00,btc-updown-5m-1777195800,buy_down,22.338892809059452,30.60122302610884,0.73,7.9563179867882985,119.65078203208554
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 09:45:01+00:00,btc-updown-5m-1777196700,buy_down,6.519100000000001,9.73,0.67,3.1135999999999995,122.76438203208555
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 10:00:01+00:00,btc-updown-5m-1777197600,buy_down,24.552876406417113,27.587501580243945,0.89,2.758750158024394,125.52313219010995
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 11:35:02+00:00,btc-updown-5m-1777203300,buy_down,1.3468,1.82,0.74,0.455,125.97813219010995
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 11:45:01+00:00,btc-updown-5m-1777203900,buy_down,25.19562643802199,31.105711651879,0.81,-25.506683554540782,100.47144863556916
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 12:15:00+00:00,btc-updown-5m-1777205700,buy_down,20.094289727113832,29.99147720464751,0.67,-20.394204499160306,80.07724413640885
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 12:40:01+00:00,btc-updown-5m-1777207200,buy_down,16.01544882728177,21.353931769709025,0.75,5.124943624730165,85.20218776113902
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 12:45:01+00:00,btc-updown-5m-1777207500,buy_down,17.040437552227804,19.81446227003233,0.86,2.575880095104203,87.77806785624321
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 12:55:00+00:00,btc-updown-5m-1777208100,buy_down,17.555613571248642,24.048785714039237,0.73,6.252684285650202,94.03075214189342
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:20:01+00:00,btc-updown-5m-1777209600,buy_down,18.806150428378682,26.487535814617864,0.71,7.416510028093002,101.44726216998642
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:25:01+00:00,btc-updown-5m-1777209900,buy_down,20.289452433997283,28.57669356901026,0.71,-20.575219369687385,80.87204280029903
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:35:01+00:00,btc-updown-5m-1777210500,buy_down,3.7224,5.64,0.66,-3.7788,77.09324280029902
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:40:01+00:00,btc-updown-5m-1777210800,buy_down,15.418648560059806,21.12143638364357,0.73,5.491573459747328,82.58481626004635
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:45:01+00:00,btc-updown-5m-1777211100,buy_down,16.516963252009273,20.39131265680157,0.81,3.6704362782242814,86.25525253827064
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 13:55:00+00:00,btc-updown-5m-1777211700,buy_down,17.251050507654128,30.26500089062128,0.57,-17.55370051656034,68.7015520217103
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 14:00:02+00:00,btc-updown-5m-1777212000,buy_down,13.740310404342061,16.554590848604892,0.83,2.648734535776783,71.35028655748708
rule_drop10_down,fixed_20pct,1,4.0,2026-04-26 14:15:01+00:00,btc-updown-5m-1777212900,buy_down,14.270057311497418,19.283861231753267,0.74,-14.462895923814951,56.887390633672126
